Label,StopwordRemovedSentence
negative,steam remains normal habitual state energy increase add remark wind replaced heavy atmospheric pressure dead calm may quite sure fear immediate eruption
neutral,enough boy
neutral,science sent forth fiat hear obey
negative,came back house quite downcast disappointed
negative,uncle completely defeated scientific arguments
positive,nevertheless still one hope bottom crater would impossible default gallery tunnel descend deeper despite learned saknussemms world
neutral,passed whole following night nightmare chest
negative,unheard miseries tortures found depths earth suddenly launched planetary space form eruptive rock
positive,next day june 23d hans calmly awaited us outside presbytery three companions loaded provisions tools instruments
neutral,two iron shod poles two guns two large game bags reserved uncle
negative,hans man never forgot even minutest precautions added baggage large skin full water addition gourds
neutral,assured us water eight days
positive,nine clock morning quite ready
positive,rector huge wife servant never knew stood door see us
neutral,appeared inflict us usual final kiss icelanders
positive,supreme astonishment adieu took shape formidable bill even counted use pastoral house really truly abominable dirty place ever
positive,worthy couple cheated robbed us like swiss innkeeper made us feel sum pay splendors hospitality
neutral,uncle however paid without bargaining
negative,man made mind undertake voyage interior earth man haggle miserable rix dollars
positive,important matter settled hans gave signal departure moments later left stapi
positive,huge volcano first stage daring experiment five thousand feet high
neutral,sneffels termination long range volcanic mountains different character system island
positive,one peculiarities two huge pointed summits
negative,whence started impossible make real outlines peak grey field sky
neutral,could distinguish vast dome white fell downwards head giant
positive,commencement great undertaking filled awe
neutral,actually started began believe reality undertaking
neutral,party formed quite procession
neutral,walked single file preceded hans imperturbable eider duck hunter
positive,calmly led us narrow paths two persons could possibility walk abreast
neutral,conversation wholly impossible
positive,opportunity reflect admire awful grandeur scene around
neutral,beyond extraordinary basaltic wall fjord stapi found making way fibrous turf grew scanty vegetation grass residuum ancient vegetation swampy peninsula
positive,vast mass combustible field yet utterly unexplored would suffice warm iceland whole century
positive,mighty turf pit measured bottom certain ravines often less seventy feet deep presents eye view successive layers black burned rocky detritus separated thin streaks porous sandstone
neutral,grandeur spectacle undoubted well arid deserted air
positive,true nephew great professor hardwigg despite preoccupation doleful fears come observed great interest vast collection mineralogical curiosities spread vast museum natural history
neutral,looking back recent studies went thought whole geological history iceland
positive,extraordinary curious island must made appearance great world waters comparatively recent date
positive,like coral islands pacific may aught know still rising slow imperceptible degrees
neutral,really case origin attributed one cause continued action subterranean fires
positive,happy thought
positive,true away theories sir humphry davy away authority parchment arne saknussemm wonderful pretensions discovery part uncle journey
neutral,must end smoke
positive,charmed idea began carefully look
negative,serious study soil necessary negative confirm hypothesis
neutral,took every item saw began comprehend succession phenomena preceded formation
neutral,iceland absolutely without sedimentary soil composed exclusively volcanic tufa say agglomeration stones rocks porous texture
negative,long existence volcanoes composed solid body massive trap rock lifted bodily slowly sea action centrifugal force work earth
neutral,internal fires however yet burst bounds flooded exterior cake mother earth hot raging lava
negative,readers must excuse brief somewhat pedantic geological lecture
neutral,necessary complete understanding follows
positive,later period world history huge mighty fissure must reasoning analogy dug diagonally southwest northeast island degrees flowed volcanic crust
positive,great wondrous phenomenon went without violence outpouring enormous seething fused matter ejected bowels earth spread slowly peacefully form vast level plains called mamelons mounds
neutral,epoch rocks called feldspars syenites porphyries appeared
positive,natural consequence overflow depth island increased
neutral,readily believed enormous quantity elastic fluids piled within centre last afforded openings process cooling crust taken place
positive,length time came despite enormous thickness weight upper crust mechanical forces combustible gases became great actually upheaved weighty back made huge gigantic shafts
positive,hence volcanoes suddenly arose upper crust next craters burst forth summit new creations
positive,seen first phenomena connection formation island simply eruptive however shortly succeeded volcanic phenomena
positive,newly formed openings escaped marvelous mass basaltic stones plain crossing covered
negative,trampling way heavy rocks dark grey color cooling moulded six sided prisms
negative,back distance could see number flattened cones formerly many fire vomiting mouths
positive,basaltic eruption appeased set rest volcano force increased extinct craters gave free passage fiery overflow lava mass cinders pumice stone scattered sides mountain like disheveled hair shoulders bacchante
neutral,nutshell whole history phenomena iceland arose
negative,take rise fierce action interior fires believe central mass remain state liquid fire white hot simply purely madness
neutral,satisfactorily proved q e
negative,insensate folly pretend penetrate interior mighty earth
positive,mental lecture delivered proceeding journey good
positive,quite reassured fate enterprise therefore went like brave soldier mounting bristling battery assault old sneffels
negative,advanced road became every moment difficult
negative,soil broken dangerous
negative,rocks broke gave way feet scrupulously careful order avoid dangerous constant falls
positive,hans advanced calmly walking salisbury plain sometimes would disappear behind huge blocks stone momentarily lost sight
negative,little period anxiety shrill whistle tell us look
negative,occasionally would take head stop pick lumps rock silently pile small heaps order might lose way return
neutral,idea journey undertake
negative,events precaution good one though utterly useless unnecessary must anticipate
negative,three hours terrible fatigue walking incessantly brought us foot great mountain
neutral,give notion still undergo
positive,suddenly however hans cried halt made signs effect summary kind breakfast laid lava us
positive,uncle simply professor hardwigg eager advance bolted food like greedy clown
neutral,halt refreshment also halt repose
positive,professor therefore compelled wait good pleasure imperturbable guide give signal departure good hour
neutral,three icelanders taciturn comrade say word went eating drinking quietly soberly
neutral,first real stage began ascend slopes sneffels volcano
positive,magnificent snowy nightcap began call optical delusion common mountains appeared close hand yet many long weary hours must elapse reached summit
negative,unheard fatigue must endure
positive,stones mountain side held together cement soil bound together roots creeping herbs gave way continually feet went rushing plains like series small avalanches
positive,certain places sides stupendous mountain angle steep impossible climb upwards compelled get round obstacles best might
neutral,understand alpine climbing comprehend difficulties
positive,often obliged help along means climbing poles
negative,must say uncle stuck close possible
positive,never lost sight many occasions arm supplied firm solid support
positive,strong wiry apparently insensible fatigue
positive,another great advantage innate sentiment equilibrium never slipped failed steps
neutral,icelanders though heavily loaded climbed agility mountaineers
positive,looking every height great volcano sneffels appeared wholly impossible reach summit side events angle inclination speedily change
neutral,fortunately hour unheard fatigues gymnastic exercises would trying acrobat came vast field ice wholly surrounded bottom cone volcano
positive,natives called tablecloth probably reason dwellers cape good hope call mountain table mountain roads table bay
positive,mutual surprise found actual flight stone steps wonderfully assisted ascent
positive,singular flight stairs like everything else volcanic
neutral,formed one torrents stones cast eruptions icelandic name stina
positive,singular torrent checked descent peculiar shape flanks mountain would swept sea would formed new islands
neutral,served us admirably
positive,abrupt character slopes momentarily increased remarkable stone steps little less difficult egyptian pyramids one simple natural means enabled proceed
positive,seven evening day clambered two thousand rough steps found overlooking kind spur projection mountain sort buttress upon conelike crater properly called leaned support
positive,ocean lay beneath us depth three thousand two hundred feet grand mighty spectacle
positive,reached region eternal snows
positive,cold keen searching intense
negative,wind blew extraordinary violence
negative,utterly exhausted
positive,worthy uncle professor saw clearly legs refused service fact utterly exhausted
positive,despite hot feverish impatience decided sigh upon halt
neutral,called eider duck hunter side
positive,worthy however shook head
neutral,ofvanfor sole spoken reply
negative,appears says uncle woebegone look must go higher
positive,turned hans asked give reason decisive response
neutral,mistour replied guide
negative,ja mistour yes mistour cried one icelandic guides terrified tone
neutral,first time spoken
neutral,mysterious word signify
negative,anxiously inquired
neutral,look said uncle
positive,looked upon plain saw vast prodigious volume pulverized pumice stone sand dust rising heavens form mighty waterspout
positive,resembled fearful phenomenon similar character known travelers desert great sahara
neutral,wind driving directly towards side sneffels perched
neutral,opaque veil standing us sun projected deep shadow flanks mountain
negative,sand spout broke us must infallibly destroyed crushed fearful embraces
neutral,extraordinary phenomenon common wind shakes glaciers sweeps arid plains icelandic tongue called mistour
neutral,hastigt hastigt
negative,cried guide
positive,certainly knew nothing danish thoroughly understood gestures meant quicken us
neutral,guide turned rapidly direction would take us back crater ascending slightly
negative,followed rapidly despite excessive fatigue
neutral,quarter hour later hans paused enable us look back
neutral,mighty whirlwind sand spreading slope mountain spot proposed halt
positive,huge stones caught cast air thrown eruption
negative,happily little direction wind therefore reach danger
negative,precaution knowledge guide dislocated bodies crushed broken limbs would cast wind like dust unknown meteor
neutral,hans however think prudent pass night bare side cone
neutral,therefore continued journey zigzag direction
positive,fifteen hundred feet remained accomplished took us least five hours
negative,turnings windings thoroughfares marches marches turned insignificant distance least three leagues
negative,never felt misery fatigue exhaustion life
negative,ready faint hunger cold
negative,rarefied air time painfully acted upon lungs
positive,last thought last gasp eleven night region quite dark reached summit mount sneffels
negative,awful mood mind despite fatigue descended crater shelter us night paused behold sun rise midnight day lowest declension enjoyed spectacle ghastly pale rays cast upon isle lay sleeping feet
neutral,longer wondered people traveling way england norway behold magical wondrous spectacle
positive,supper eaten ease rapidity everybody best could within hollow crater
negative,bed hard shelter unsatisfactory situation painful lying open air five thousand feet level sea
neutral,nevertheless seldom happened sleep well particular night
positive,even dream
negative,much effects uncle called wholesome fatigue
positive,next day awoke rays bright glorious sun nearly frozen keen air
positive,left granite couch made one party enjoy view magnificent spectacle developed panorama like feet
neutral,stood upon lofty summit mount sneffels southern peak
positive,thence able obtain view greater part island
negative,optical delusion common lofty heights raised shores island central portions appeared depressed
positive,means great flight fancy believe giant picture stretched
neutral,could see deep valleys crossed every direction
positive,could see precipices looking like sides wells lakes seemed changed ponds ponds looked like puddles rivers transformed petty brooks
neutral,right glaciers upon glaciers multiplied peaks topped light clouds smoke
negative,undulation infinite numbers mountains whose snowy summits make look covered foam recalled remembrance surface storm beaten ocean
neutral,looked towards west ocean lay majestic grandeur continuation fleecy hilltops
neutral,earth ended sea began impossible eye distinguish
positive,soon felt strange mysterious sensation awakened mind looking lofty hilltops able without feeling nervousness fortunately hardened kind sublime contemplation
neutral,wholly forgot
neutral,became intoxicated sense lofty sublimity without thought abysses daring soon plunge
neutral,presently however brought back realities life arrival professor hans joined upon lofty summit peak
positive,uncle turning westerly direction pointed light cloud vapor kind haze faint outline land rising waters
neutral,greenland
neutral,said
neutral,greenland
negative,cried reply
positive,yes continued uncle always explaining anything spoke professor chair thirty five leagues distant wonderful land
positive,great annual breakup ice takes place white bears come iceland carried floating masses ice north
positive,however matter little consequence
positive,summit great transcendent sneffels two peaks north south
neutral,hans tell name people iceland call stand
neutral,uncle turned imperturbable guide nodded spoke usual one word
neutral,scartaris
positive,uncle looked proud triumphant glance
neutral,crater said hear
negative,hear totally unable make reply
neutral,crater mount sneffels represented inverted cone gaping orifice apparently half mile across depth indefinite feet
positive,conceive hole must like full flame thunder lightning
positive,bottom funnel shaped hollow five hundred feet circumference seen slope summit bottom gradual therefore clearly able get without much fatigue difficulty
negative,involuntarily compared crater enormous loaded cannon comparison completely terrified
negative,descend interior cannon thought perhaps loaded go least shock act madman
neutral,longer opportunity hesitate
positive,hans perfectly calm indifferent air took usual post head adventurous little band
neutral,followed without uttering syllable
positive,felt like lamb led slaughter
negative,order render descent less difficult hans took way interior cone rather zigzag fashion making sailors say long tracks eastward followed equally long ones west
neutral,necessary walk midst eruptive rocks shaken balance went rolling thundering clamor bottom abyss
neutral,continual falls awoke echoes singular power effect
negative,many portions cone consisted inferior glaciers
positive,hans whenever met one obstacles advanced great show precaution sounding soil long iron pole order discover fissures layers deep soft snow
negative,many doubtful dangerous places became necessary us tied together long rope order one us unfortunate enough slip would supported companions
negative,connecting link doubtless prudent precaution means unattended danger
positive,nevertheless despite manifold difficulties descent along slopes guide wholly unacquainted made considerable progress without accident
positive,one great parcels rope slipped one iceland porters rushed short cut bottom abyss
neutral,midday end journey
positive,looked upwards saw upper orifice cone served circular frame small portion sky portion seemed singularly beautiful
positive,ever gaze lovely sunlit sky
positive,exception extraordinary landscape peak scartaris seemed lost great void heavens
positive,bottom crater composed three separate shafts periods eruption sneffels action great central furnace sent forth burning lava poisonous vapors
neutral,chimneys shafts gaped open mouthed path
neutral,kept far away possible even venturing take faintest peep downwards
neutral,professor rapid examination disposition characteristics became breathless panting
positive,ran one like delighted schoolboy gesticulating wildly uttering incomprehensible disjointed phrases sorts languages
neutral,hans guide humbler companions seated piles lava looked silently
negative,clearly took uncle lunatic waited result
negative,suddenly professor uttered wild unearthly cry
negative,first imagined lost footing falling headlong one yawning gulfs
positive,nothing kind
neutral,saw arms spread widest extent legs stretched apart standing upright enormous pedestal high enough black enough bear gigantic statue pluto
neutral,attitude mien man utterly stupefied
positive,stupefaction speedily changed wildest joy
neutral,harry
neutral,harry
neutral,come
positive,cried make haste wonderful wonderful
negative,unable understand meant turned obey commands
neutral,neither hans icelanders moved step
neutral,look
neutral,said professor something manner french general pointing pyramids army
positive,fully partaking stupefaction joy read eastern side huge block stone characters half eaten away corrosive action time name thousand times accursed illustration runic glyphs arne saknussemm
negative,cried uncle unbeliever begin faith
neutral,totally impossible answer single word
neutral,went back pile lava state silent awe
neutral,evidence unanswerable overwhelming
neutral,moments however thoughts far away back german home gretchen old cook
positive,would given one cousin smiles one ancient domestic omelettes feather bed
neutral,long remained state know
neutral,say last raised head hands remained bottom crater uncle hans
neutral,icelandic porters dismissed descending exterior slopes mount sneffels way stapi
positive,heartily wish
positive,hans slept tranquilly foot rock kind rill lava made rough ready bed
positive,uncle walking bottom crater like wild beast cage
positive,desire neither strength move recumbent position
neutral,taking example guide gave way kind painful somnolency seemed hear feel continued heavings shudderings mountain
neutral,way passed first night interior crater
positive,next morning grey cloudy heavy sky hung like funereal pall summit volcanic cone
negative,notice much obscurity reigned around us rage uncle devoured
positive,fully understood reason glimpse hope made heart leap joy
neutral,briefly explain cause
positive,three openings yawned beneath steps one could followed adventurous saknussemm
neutral,according words learned icelander known one particular mentioned cryptograph shadow scartaris fell upon touching mouth last days month june
negative,fact consider pointed peak stylus immense sun dial shadow pointed one given day like inexorable finger fate yawning chasm led interior earth
negative,often happens regions sun fail burst clouds shadow
positive,consequently chance discovering right aperture
positive,already reached 25th june
positive,kindly heavens would remain densely clouded six days put voyage discovery another year certainly would one person fewer party
negative,already sufficient mad monstrous enterprise
negative,would utterly impossible depict impotent rage professor hardwigg
neutral,day passed away faintest outline shadow could seen bottom crater
neutral,hans guide never moved place
positive,must curious know indeed could believe anything
neutral,uncle never addressed word
positive,nursing wrath keep warm
negative,eyes fixed black foggy atmosphere complexion hideous suppressed passion
negative,never eyes appeared fierce nose aquiline mouth hard firm
positive,26th change better
neutral,mixture rain snow fell whole day
positive,hans quietly built hut lava retired like diogenes tub
positive,took malicious delight watching thousand little cascades flowed side cone carrying times stream stones vasty deep
negative,uncle almost frantic sure enough make even patient man angry
positive,reached certain extent goal desires yet likely wrecked port
positive,heavens elements capable causing us much pain sorrow two sides medal
positive,reserved professor hardwigg brilliant sudden surprise compensate sufferings
neutral,next day sky still overcast sunday 28th last day two month sudden change wind new moon came change weather
neutral,sun poured beaming rays bottom crater
positive,hillock every rock every stone every asperity soil share luminous effulgence shadow fell heavily soil
positive,among others insane delight shadow scartaris marked clear moved slowly radiant start day
neutral,uncle moved state mental ecstasy
neutral,twelve clock exactly sun attained highest altitude day shadow fell upon edge central pit
positive,gasped professor agony joy found
neutral,forward friends interior earth
positive,looked curiously hans see reply would make terrific announcement
neutral,forut said guide tranquilly
positive,forward answered uncle seventh heaven delight
neutral,quite ready watches indicated thirteen minutes past one
neutral,real journey commenced
positive,hitherto courage determination overcome difficulties
negative,fatigued times
negative,encounter unknown fearful dangers
negative,yet ventured take glimpse horrible abyss minutes plunge
negative,fatal moment however last arrived
positive,still option refusing accepting share foolish audacious enterprise
negative,ashamed show fear eider duck hunter
positive,hans seemed accept difficulties journey tranquilly calm indifference perfect recklessness danger actually blushed appear less man
negative,alone uncle certainly sat argued point fully presence guide held tongue
positive,gave one moment thought charming cousin advanced mouth central shaft
neutral,measured hundred feet diameter made three hundred circumference
neutral,leaned rock stood edge looked
neutral,hair stood end teeth chattered limbs trembled
neutral,seemed utterly lose centre gravity head sort whirl like drunken man
positive,nothing powerful attraction towards abyss
positive,fall headlong gaping well drawn back firm powerful hand
neutral,hans
neutral,taken lessons enough frelser kirk copenhagen art looking lofty eminences without blinking
neutral,however minutes gazed tremendous even wondrous shaft sufficient glimpse give idea physical conformation
neutral,sides almost perpendicular well presented numerous projections doubtless would assist descent
neutral,sort wild savage staircase without bannister fence
positive,rope fastened near surface would certainly support weight enable us reach bottom arrived utmost depth loosen
positive,thought question importance
positive,uncle however one men nearly always prepared expedients
neutral,hit upon simple method obviating difficulty
neutral,unrolled cord thick thumb least four hundred feet length
positive,allowed half go pit catch hitch great block lava stood edge precipice
neutral,done threw second half first
positive,us could descend catching two cords one hand
negative,two hundred feet explorer let go one end pull away cord would come falling feet
neutral,order go farther necessary continue operation
positive,excellent proposition doubt correct one
positive,going appeared easy enough coming occupied thoughts
positive,said uncle soon completed important preparation let us see baggage
neutral,must divided three separate parcels us must carry one back
positive,allude important fragile articles
positive,worthy ingenious uncle appear consider came denomination
neutral,hans continued take charge tools provisions harry must take possession another third provisions arms
neutral,load rest eatables delicate instruments
neutral,exclaimed clothes mass cord ladders undertake carry
neutral,go
neutral,
neutral,asked
neutral,shall see
positive,uncle fond half measures like anything way hesitation
positive,giving orders hans whole nonfragile articles made one bundle packet firmly solidly fastened simply pitched edge gulf
negative,heard moaning suddenly displaced air noise falling stones
positive,uncle leaning abyss followed descent luggage perfectly self satisfied air rise completely disappeared sight
negative,cried turn
positive,put good faith man common sense possible hear energetic cry without shudder
neutral,professor fastened case instruments back
neutral,hans took charge tools arms
neutral,descent commenced following order hans went first uncle followed went last
negative,progress made profound silence silence troubled fall pieces rock breaking jagged sides fell roar depths
neutral,allowed slide speak holding frantically double cord one hand keeping rocks assistance iron shod pole
positive,one idea time impressed upon brain
negative,feared upper support would fail
neutral,cord appeared far fragile bear weight three persons luggage
positive,made little use possible trusting agility miracles way feats dexterity strength upon projecting shelves spurs lava feet seemed clutch strongly hands
negative,guide went first said one slippery frail supports broke feet recourse usual monosyllabic way speaking
neutral,gif akt attention look repeated uncle
positive,half hour reached kind small terrace formed fragment rock projecting distance sides shaft
neutral,hans began haul upon cord one side going quietly upward came
positive,fell last bringing shower small stones lava dust disagreeable kind rain hail
neutral,seated extraordinary bench ventured look downwards
negative,sigh discovered bottom still wholly invisible
neutral,going direct interior earth
positive,performance cord recommenced quarter hour later reached depth another two hundred feet
positive,strong doubts determined geologist would descent studied nature different layers earth around
negative,trouble head much matter whether among combustible carbon silurians primitive soil neither knew cared know
neutral,inveterate professor
neutral,must taken notes way one halts began brief lecture
positive,farther advance said greater confidence result
neutral,disposition volcanic strata absolutely confirms theories sir humphry davy
negative,still within region primordial soil soil took place chemical operation metals becoming inflamed coming contact air water
negative,regret old forever exploded theory central fire
neutral,events shall soon know truth
neutral,everlasting conclusion came
positive,however far humor discuss matter
neutral,something else think
positive,silence taken consent still continued go
positive,expiration three hours appearance far ever bottom well
neutral,looked upwards however could see upper orifice every minute decreasing size
neutral,sides shaft getting closer closer together approaching regions eternal night
neutral,still continued descend
negative,length noticed pieces stone detached sides stupendous precipice swallowed less noise
neutral,final sound sooner heard
neutral,approaching bottom abyss
positive,careful keep account changes cord took place able tell exactly depth reached well time taken
neutral,shifted rope twenty eight times operation taking quarter hour made seven hours
neutral,added twenty eight pauses ten hours half
neutral,started one therefore eleven clock night
positive,require great knowledge arithmetic know twenty eight times two hundred feet makes five thousand six hundred feet english mile
negative,making mental calculation voice broke silence
neutral,voice hans
neutral,halt
negative,cried
neutral,checked suddenly moment kick uncle head
positive,reached end journey said worthy professor satisfied tone
neutral,interior earth
neutral,said slipping side
negative,stupid fellow
positive,reached bottom well
positive,suppose farther progress made
positive,hopefully exclaimed
positive,oh yes dimly see sort tunnel turns obliquely right
neutral,events must see tomorrow
positive,let us sup seek slumber best may
neutral,thought time made observations point
positive,fairly launched desperate course go forward hopefully trustingly
neutral,even quite dark light filtering extraordinary manner
positive,opened provision bag ate frugal supper best find bed amid pile stones dirt lava accumulated ages bottom shaft
neutral,happened grope pile ropes ladders clothes thrown upon stretched
neutral,day labor rough bed seemed soft
positive,lay sort pleasant trance
neutral,presently lying quietly minutes opened eyes looked upwards
positive,made brilliant little dot extremity long gigantic telescope
neutral,star without scintillating rays
neutral,according calculation must beta constellation little bear
negative,little bit astronomical recreation dropped sound sleep
positive,eight clock next morning faint kind dawn day awoke us
positive,thousand one prisms lava collected light passed brought us like shower sparks
positive,able ease see objects around us
positive,well harry boy cried delighted professor rubbing hands together say
positive,ever pass tranquil night house konigstrasse
negative,deafening sounds cart wheels cries hawkers bad language boatmen watermen
negative,well uncle quite bottom well something terrible calm
negative,said professor hotly one would say already beginning afraid
neutral,get presently
neutral,know yet penetrated one inch bowels earth
neutral,mean sir
positive,bewildered astonished reply
positive,mean say reached soil island
neutral,long vertical tube ends bottom crater sneffels ceases level sea
positive,sure sir
positive,quite sure
neutral,consult barometer
positive,quite true mercury rising gradually instrument long descent taking place stopped precisely twenty nine degrees
negative,perceive said professor yet endure pressure air
positive,curious replace barometer manometer
neutral,barometer fact become useless soon weight air greater calculated level ocean
negative,said much feared ever increasing pressure may end turn painful inconvenient
neutral,said
neutral,shall descend slowly lungs gradually accustomed breathe compressed air
positive,well known aeronauts gone high nearly without air accustom breathe say little much
positive,certain shall prefer
neutral,let us lose moment
neutral,packet preceded us descent
neutral,smilingly pointed uncle
neutral,hans seen believed caught somewhere us huppe phrased
positive,said uncle let us breakfast break fast like people long day work
neutral,biscuit dried meat washed mouthfuls water flavored schiedam material luxurious meal
neutral,soon finished uncle took pocket notebook destined filled memoranda travels
neutral,already placed instruments order wrote monday june 29th chronometer 8h
neutral,17m
neutral,morning
neutral,barometer 29 6 inches
neutral,thermometer 6 degrees 43 degrees fahr
neutral,direction e e
neutral,last observation referred obscure gallery indicated us compass
positive,harry cried professor enthusiastic tone voice truly take first step interior earth never visited man since first creation world
neutral,may consider therefore precise moment travels really commence
neutral,uncle made remark took one hand ruhmkorff coil apparatus hung round neck put electric current communication worm lantern
positive,bright light illumined dark gloomy tunnel
neutral,effect magical
neutral,hans carried second apparatus also put operation
neutral,ingenious application electricity practical purposes enabled us move along light artificial day amid even flow inflammable combustible gases
neutral,forward
negative,cried uncle
negative,took burden
negative,hans went first uncle followed going third entered somber gallery
negative,engulf dismal passage lifted head tubelike shaft saw iceland sky never see
neutral,last ever see sky
negative,stream lava flowing bowels earth 1219 forced passage tunnel
positive,lined whole inside thick brilliant coating
positive,electric light added greatly brilliancy effect
positive,great difficulty journey began
negative,prevent slipping steeply inclined plane
positive,happily cracks abrasures soil irregularities served place steps descended slowly allowing heavy luggage slip end long cord
neutral,served steps feet became places stalactites
positive,lava porous certain places took form little round blisters
positive,crystals opaque quartz adorned limpid drops natural glass suspended roof like lusters seemed take fire passed beneath
positive,one would fancied genii romance illuminating underground palaces receive sons men
positive,magnificent glorious
negative,cried moment involuntary enthusiasm spectacle uncle
positive,admire variegated shades lava run whole series colors reddish brown pale yellow insensible degrees
positive,crystals appear like luminous globes
negative,beginning see charms travel master harry cried uncle
neutral,wait bit advance farther
neutral,yet discovered nothing onwards boy onwards
positive,would far correct appropriate expression said let us slide going inclined plane perfect ease
neutral,compass indicated moving southeasterly direction
neutral,flow lava never turned right left
positive,inflexibility straight line
positive,nevertheless surprise found perceptible increase heat
neutral,proved theories humphry davy founded truth found examining thermometer silent astonishment
neutral,two hours departure marked fifty four degrees fahrenheit
neutral,every reason believe descent far horizontal vertical
neutral,discovering exact depth attained nothing could easier
positive,professor advanced measured angles deviation inclination kept result observations
neutral,eight clock evening uncle gave signal halting
neutral,hans seated ground
neutral,lamps hung fissures lava rock
neutral,large cavern air wanting
neutral,contrary abounded
neutral,could cause atmospheric agitation could ascribed draught
positive,question care discuss
negative,fatigue hunger made incapable reasoning
positive,unceasing march seven hours kept without great exhaustion
positive,really truly worn delighted enough hear word halt
positive,hans laid provisions lump lava supped keen relish
positive,one thing however caused us great uneasiness water reserve already half exhausted
negative,uncle full confidence finding subterranean resources hitherto completely failed
positive,could help calling uncle attention circumstance
positive,surprised total absence springs
neutral,said
negative,doubtless uneasy point
neutral,certainly enough water last us five days
positive,quite easy matter continued uncle
positive,answer shall find plenty water fact far shall want
neutral,
neutral,get crust lava
positive,expect springs force way solid stone walls
positive,prove concrete mass lava extend centre earth
neutral,think yet done much vertical way
neutral,puts head boy
neutral,asked uncle mildly
positive,well appears descended far level sea find rather hotter
neutral,according system said uncle thermometer say
positive,scarcely fifteen degrees reaumur increase nine since departure
neutral,well conclusion bring
neutral,inquired professor
neutral,deduction draw simple
neutral,according exact observations augmentation temperature interior earth one degree every hundred feet
positive,certain local causes may considerably modify figure
neutral,thus yakoust siberia remarked heat increases degree every thirty six feet
positive,difference evidently depends conductibility certain rocks
neutral,neighborhood extinct volcano remarked elevation temperature one degree every five twenty feet
positive,let us go upon calculation favorable calculate
neutral,calculate away boy
neutral,nothing easier said pulling notebook pencil
neutral,nine times one hundred twenty five feet make depth eleven hundred twenty five feet
neutral,archimedes could spoken geometrically
neutral,well
neutral,well according observations least ten thousand feet level sea
neutral,possible
neutral,either calculation correct truth figures
positive,calculations professor perfectly correct
neutral,already six thousand feet deeper bowels earth anyone ever
negative,lowest known depth man hitherto penetrated mines kitzbuhel tirol wurttemberg
neutral,temperature eighty one place fifteen
negative,matter serious consideration
neutral,next day tuesday 30th june six clock morning resumed journey
positive,still continued follow gallery lava perfect natural pathway easy descent inclined planes old german houses serve purpose staircases
negative,went seventeen minutes past twelve precise instant rejoined hans somewhat advance suddenly stopped
negative,last cried uncle reached end shaft
neutral,looked wonderingly
negative,centre four cross paths somber narrow tunnels
positive,question arose wise take small difficulty
positive,uncle wish appear hesitation matter guide made mind
negative,pointed quietly eastern tunnel without delay entered within gloomy recesses
positive,besides entertained feeling hesitation might prolonged indefinitely indication determine choice
positive,absolutely necessary trust chance good fortune
neutral,descent obscure narrow gallery gradual winding
positive,sometimes gazed succession arches course like aisles gothic cathedral
positive,great artistic sculptors builders middle ages might completed studies advantage
positive,many beautiful suggestive ideas architectural beauty would discovered
positive,passing phase cavernous way suddenly came mile farther upon square system arch adopted early romans projecting solid rock keeping weight roof
positive,suddenly would come upon series low subterranean tunnels looked like beaver holes work foxes whose narrow winding ways literally crawl
neutral,heat still remained quite supportable degree
neutral,involuntary shudder reflected heat must volcano sneffels pouring smoke flames streams boiling lava must come road following
neutral,could imagine torrents hot seething stone darting bubbling accompaniments smoke steam sulphurous stench
neutral,think consequences mused old volcano set work
negative,communicate rather unpleasant reflections uncle
negative,would understood would intensely disgusted
neutral,idea go ahead
negative,walked slid clambered piles fragments rolled heaps broken lava earnestness conviction impossible admire
negative,six clock evening wearisome journey one fatiguing made six miles towards southward gone mile downwards
neutral,uncle usual gave signal halt
positive,ate meal thoughtful silence retired sleep
neutral,arrangements night primitive simple
neutral,traveling rug rolled bedding
negative,necessity fear cold unpleasant visit
positive,travelers bury wilds depths african desert seek profit pleasure forests new world compelled take turn watch hours sleep region earth absolute solitude complete security reigned supreme
positive,nothing fear either savages wild beasts
positive,night sweet repose awoke fresh ready action
negative,nothing detain us started journey
neutral,continued burrow lava tunnel
neutral,impossible make soil making way
neutral,tunnel moreover instead going bowels earth became absolutely horizontal
neutral,even thought examination actually tending upwards
positive,ten clock day state things became clear finding change fatiguing obliged slacken pace finally come halt
positive,well said professor quickly matter
negative,fact dreadfully tired earnest reply
negative,cried uncle tired three hours walk easy road
positive,easy enough dare say fatiguing
neutral,go downwards
positive,beg pardon sir
neutral,time noticed going upwards
negative,upwards cried uncle shrugging shoulders
negative,doubt
neutral,last half hour slopes upward go way much longer shall find back iceland
positive,uncle shook head air man want convinced
neutral,tried continue conversation
neutral,would answer gave signal departure
negative,silence thought caused concentrated ill temper
positive,however might took load boldly resolutely followed hans advance uncle
neutral,like beaten even distanced
negative,naturally anxious lose sight companions
negative,idea left behind lost terrible labyrinth made shiver ague
positive,besides ascending path arduous painful clamber one source secret consolation delight
neutral,appearance taking us back surface earth
positive,hopeful
positive,every step took confirmed belief began already build castles air relation marriage pretty little cousin
positive,twelve clock great sudden change aspect rocky sides gallery
neutral,first noticed diminution rays light cast back reflection lamp
neutral,coated shining resplendent lava became living rock
neutral,sides sloping walls sometimes became quite vertical
neutral,geological professors call state transition period silurian stones called specimen early formation common england counties formerly inhabited celtic nation known silures
